Number of Queries,Regret,Computation Time
102,[0.15944609],9.080925226211548
46,[-0.19500319],2.3982632160186768
80,[-0.01572559],5.342833518981934
12,[-0.07193291],0.26683950424194336
25,[0.28034317],1.0735578536987305
126,[0.18187516],9.567326307296753
102,[0.11736266],7.133790969848633
72,[0.05503214],4.985552787780762
127,[-0.01738973],20.644296169281006
79,[0.08252663],3.6886789798736572
83,[0.10273758],7.0347654819488525
56,[0.30320865],2.5845589637756348
139,[0.28391462],7.594728231430054
79,[0.29234028],7.4031288623809814
23,[-0.15843379],0.8905239105224609
117,[0.15792151],10.101751327514648
20,[0.23768625],0.7727305889129639
108,[0.17340525],7.5594892501831055
93,[0.04358506],7.554609775543213
16,[0.19936732],0.4279191493988037
84,[0.2222379],4.139552116394043
66,[0.24809527],5.310533761978149
43,[0.40669297],2.791501045227051
84,[0.06289017],5.989125728607178
23,[0.08833182],0.7573091983795166
93,[0.24664533],6.684122800827026
20,[0.07236041],0.8540863990783691
74,[0.22882403],4.29261326789856
91,[-0.00720175],5.717405557632446
89,[0.19890877],7.358207941055298
88,[0.07931041],4.2535576820373535
63,[0.06832149],4.706989526748657
62,[0.00061849],3.3622710704803467
111,[0.05734848],8.561416864395142
145,[0.08152453],7.881811141967773
109,[0.08692085],6.6201171875
22,[0.05339778],0.9301373958587646
61,[0.1527783],4.748997926712036
44,[0.16423535],2.446110963821411
65,[-0.06198837],5.920786380767822
119,[0.28818429],9.509464502334595
126,[0.2408572],13.168663740158081
91,[0.2498405],8.055855751037598
51,[0.0965993],3.2017388343811035
72,[0.16313907],4.8045430183410645
16,[0.10536128],0.4236788749694824
26,[0.11593104],1.1717748641967773
42,[0.16918657],2.3193511962890625
93,[0.27840929],5.1931023597717285
41,[0.40719727],2.0359737873077393
29,[0.29007406],1.3417229652404785
95,[0.23082381],5.419538974761963
23,[0.15462092],0.790398120880127
106,[-0.04224832],6.440547943115234
18,[0.04471367],0.5053920745849609
105,[0.12521442],7.539970874786377
98,[0.21860025],5.64507532119751
117,[0.07779388],8.762701034545898
73,[0.05049224],4.2551915645599365
105,[0.05230484],8.969825267791748
49,[0.11881983],2.39224910736084
75,[0.14773106],6.109213352203369
58,[0.08437916],3.7204666137695312
82,[0.10807142],5.705202341079712
70,[0.15631566],5.135284662246704
100,[0.11067107],5.791460990905762
23,[-0.00516352],0.8870835304260254
53,[0.1046919],3.9451873302459717
65,[0.18014407],4.875136613845825
73,[0.17060191],4.6185996532440186
98,[0.10734513],5.076601505279541
66,[0.1598706],4.958578824996948
55,[0.19245717],3.7335116863250732
115,[0.30694663],11.956550359725952
22,[0.12463839],0.9642055034637451
88,[0.10400816],7.067953586578369
37,[0.01980893],1.707932710647583
89,[-0.02359815],5.5664496421813965
19,[0.09012009],0.7284722328186035
21,[0.08435079],0.8345737457275391
110,[0.11154266],5.291862964630127
97,[0.11251428],5.654797792434692
76,[0.06433501],3.6079001426696777
13,[-0.15891736],0.2667725086212158
71,[-0.05416716],5.457390546798706
78,[0.34613265],5.980586528778076
69,[0.04507789],5.1515257358551025
56,[0.2036188],3.8518970012664795
16,[0.30758141],0.4108004570007324
19,[0.16853746],0.5345132350921631
68,[0.11807676],5.0404908657073975
85,[0.14366961],6.863929033279419
57,[0.12276716],3.6167564392089844
22,[0.20239182],0.8874759674072266
21,[-0.12696965],0.8621785640716553
107,[0.25176809],5.356085777282715
53,[0.3985294],5.10821795463562
43,[-0.05614585],2.6710872650146484
60,[0.25517666],4.163533926010132
60,[0.19325939],3.8585758209228516
