Number of Queries,Regret
100,[0.]
107,[0.]
186,[0.]
176,[0.]
146,[0.]
131,[0.]
138,[0.]
101,[0.]
227,[0.]
146,[0.]
191,[0.]
112,[0.]
108,[0.]
159,[0.]
146,[0.]
134,[0.]
119,[0.]
182,[0.]
99,[0.]
228,[0.]
133,[0.]
101,[0.]
116,[0.]
120,[0.]
180,[0.]
244,[0.]
199,[0.]
146,[0.]
136,[0.]
138,[0.]
159,[0.]
169,[0.]
134,[0.]
172,[0.]
161,[0.]
215,[0.]
167,[0.]
151,[0.]
119,[0.]
147,[0.]
96,[0.]
99,[0.]
130,[0.]
108,[0.]
143,[0.]
142,[0.]
104,[0.]
125,[0.]
183,[0.]
117,[0.]
109,[0.]
107,[0.]
107,[0.]
153,[0.]
170,[0.]
206,[0.]
101,[0.]
198,[0.]
107,[0.]
146,[0.]
174,[0.]
197,[0.]
144,[0.]
160,[0.]
152,[0.]
122,[0.]
114,[0.]
190,[0.]
185,[0.]
147,[0.]
179,[0.]
157,[0.]
110,[0.]
120,[0.]
137,[0.]
146,[0.]
164,[0.]
106,[0.]
186,[0.]
186,[0.]
110,[0.]
132,[0.]
186,[0.]
101,[0.]
117,[0.]
146,[0.]
154,[0.]
147,[0.]
163,[0.]
112,[0.]
106,[0.]
160,[0.]
144,[0.]
181,[0.]
132,[0.]
158,[0.]
137,[0.]
118,[0.]
191,[0.]
115,[0.]
