Step,Regret
0,[0.03877738]
1,[0.0123015]
2,[0.0123015]
3,[0.0123015]
4,[0.0123015]
5,[0.0123015]
6,[0.0123015]
7,[0.0123015]
8,[0.0123015]
9,[0.0123015]
10,[0.0123015]
11,[0.0123015]
12,[0.0123015]
13,[0.0123015]
14,[0.0123015]
15,[0.0123015]
16,[0.0123015]
17,[0.0123015]
18,[0.0123015]
19,[0.0123015]
20,[0.0123015]
21,[0.0123015]
22,[0.0123015]
23,[0.0123015]
24,[0.0123015]
25,[0.0123015]
26,[0.0123015]
27,[0.0123015]
28,[0.0123015]
29,[0.0123015]
30,[0.0123015]
31,[0.0123015]
32,[0.0123015]
33,[0.0123015]
34,[0.0123015]
35,[0.0123015]
36,[0.0123015]
37,[0.0123015]
38,[0.0123015]
39,[0.0123015]
40,[0.0123015]
41,[0.0123015]
42,[0.0123015]
43,[0.0123015]
44,[0.0123015]
45,[0.0123015]
46,[0.0123015]
47,[0.0123015]
48,[0.0123015]
49,[0.0123015]
50,[0.0123015]
51,[0.0123015]
52,[0.0123015]
53,[0.0123015]
54,[0.0123015]
55,[0.0123015]
56,[0.0123015]
57,[0.0123015]
58,[0.0123015]
59,[0.0123015]
60,[0.0123015]
61,[0.0123015]
62,[0.0123015]
63,[0.0123015]
64,[0.0123015]
65,[0.0123015]
66,[0.0123015]
67,[0.0123015]
68,[0.0123015]
69,[0.0123015]
70,[0.0123015]
71,[0.0123015]
72,[0.0123015]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
99,[0.]
100,[0.]
101,[0.]
102,[0.]
103,[0.]
104,[0.]
105,[0.]
106,[0.]
107,[0.]
108,[0.]
109,[0.]
110,[0.]
111,[0.]
112,[0.]
113,[0.]
114,[0.]
115,[0.]
116,[0.]
117,[0.]
118,[0.]
119,[0.]
120,[0.]
121,[0.]
122,[0.]
123,[0.]
124,[0.]
125,[0.]
126,[0.]
127,[0.]
128,[0.]
129,[0.]
130,[0.]
131,[0.]
132,[0.]
133,[0.]
134,[0.]
135,[0.]
136,[0.]
137,[0.]
138,[0.]
139,[0.]
140,[0.]
141,[0.]
142,[0.]
143,[0.]
144,[0.]
145,[0.]
146,[0.]
147,[0.]
148,[0.]
149,[0.]
150,[0.]
151,[0.]
152,[0.]
153,[0.]
154,[0.]
155,[0.]
156,[0.]
157,[0.]
158,[0.]
159,[0.]
160,[0.]
161,[0.]
162,[0.]
163,[0.]
164,[0.]
165,[0.]
166,[0.]
167,[0.]
168,[0.]
169,[0.]
170,[0.]
171,[0.]
0,[0.09842956]
