Step,Regret
1,[0.04546655]
2,[0.04546655]
3,[0.04546655]
4,[0.04546655]
5,[0.03502996]
6,[0.03502996]
7,[0.03502996]
8,[0.03502996]
9,[0.03502996]
10,[0.03502996]
11,[0.03502996]
12,[0.03502996]
13,[0.03502996]
14,[0.03502996]
15,[0.03502996]
16,[0.03502996]
17,[0.03502996]
18,[0.03502996]
19,[0.03502996]
20,[0.03502996]
21,[0.03502996]
22,[0.03502996]
23,[0.03502996]
24,[0.03502996]
25,[0.03502996]
26,[0.03502996]
27,[0.03502996]
28,[0.03502996]
29,[0.03502996]
30,[0.03502996]
31,[0.03502996]
32,[0.03502996]
33,[0.03502996]
34,[0.03502996]
35,[0.03502996]
36,[0.03502996]
37,[0.03502996]
38,[0.03502996]
39,[0.03502996]
40,[0.03502996]
41,[0.03502996]
42,[0.03502996]
43,[0.00721031]
44,[0.00721031]
45,[0.00721031]
46,[0.00721031]
47,[0.00721031]
48,[0.00721031]
49,[0.00721031]
50,[0.00721031]
51,[0.00721031]
52,[0.00721031]
53,[0.00721031]
54,[0.00721031]
55,[0.00721031]
56,[0.00721031]
57,[0.00721031]
58,[0.00721031]
59,[0.00721031]
60,[0.00721031]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.03200327]
2,[0.03200327]
3,[0.03200327]
4,[0.03200327]
5,[0.03200327]
6,[0.03200327]
7,[0.03200327]
8,[0.03200327]
9,[0.03200327]
10,[0.02376709]
11,[0.02148372]
12,[0.02148372]
13,[0.02148372]
14,[0.02148372]
15,[0.02148372]
16,[0.02148372]
17,[0.02148372]
18,[0.02148372]
19,[0.02148372]
20,[0.02148372]
21,[0.02148372]
22,[0.02148372]
23,[0.02148372]
24,[0.02148372]
25,[0.02148372]
26,[0.02148372]
27,[0.02148372]
28,[0.02148372]
29,[0.02148372]
30,[0.02148372]
31,[0.02148372]
32,[0.02148372]
33,[0.02148372]
34,[0.02148372]
35,[0.02148372]
36,[0.02148372]
37,[0.02148372]
38,[0.02148372]
39,[0.02148372]
40,[0.02148372]
41,[0.02148372]
42,[0.02148372]
43,[0.02148372]
44,[0.02148372]
45,[0.02148372]
46,[0.01922857]
47,[0.01922857]
48,[0.01922857]
49,[0.01922857]
50,[0.01922857]
51,[0.01922857]
52,[0.01922857]
53,[0.01922857]
54,[0.01922857]
55,[0.01922857]
56,[0.01922857]
57,[0.01922857]
58,[0.01922857]
59,[0.01922857]
60,[0.01922857]
61,[0.01922857]
62,[0.01922857]
63,[0.01266087]
64,[0.01266087]
65,[0.01266087]
66,[0.01266087]
67,[0.01266087]
68,[0.0020829]
69,[0.0020829]
70,[0.0020829]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.02549913]
2,[0.02549913]
3,[0.02549913]
4,[0.02549913]
5,[0.02549913]
6,[0.02549913]
7,[0.02549913]
8,[0.02549913]
9,[0.02549913]
10,[0.02549913]
11,[0.02549913]
12,[0.02549913]
13,[0.02549913]
14,[0.02549913]
15,[0.02549913]
16,[0.02549913]
17,[0.00632181]
18,[0.00632181]
19,[0.00632181]
20,[0.00632181]
21,[0.00632181]
22,[0.00632181]
23,[0.00632181]
24,[0.00632181]
25,[0.00632181]
26,[0.00632181]
27,[0.00632181]
28,[0.00632181]
29,[0.00632181]
30,[0.00632181]
31,[0.00632181]
32,[0.00632181]
33,[0.00632181]
34,[0.00632181]
35,[0.00632181]
36,[0.00632181]
37,[0.00632181]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.07534085]
2,[0.07534085]
3,[0.07534085]
4,[0.07534085]
5,[0.04273044]
6,[0.04273044]
7,[0.04273044]
8,[0.04273044]
9,[0.04273044]
10,[0.04273044]
11,[0.04273044]
12,[0.04273044]
13,[0.04273044]
14,[0.04273044]
15,[0.04273044]
16,[0.04273044]
17,[0.04273044]
18,[0.04273044]
19,[0.04273044]
20,[0.04273044]
21,[0.04273044]
22,[0.04273044]
23,[0.04273044]
24,[0.04273044]
25,[0.04273044]
26,[0.04273044]
27,[0.04273044]
28,[0.04273044]
29,[0.04273044]
30,[0.04273044]
31,[0.04273044]
32,[0.04273044]
33,[0.04273044]
34,[0.04273044]
35,[0.04273044]
36,[0.04273044]
37,[0.04273044]
38,[0.04273044]
39,[0.04273044]
40,[0.04273044]
41,[0.04273044]
42,[0.04273044]
43,[0.04273044]
44,[0.04273044]
45,[0.04273044]
46,[0.04273044]
47,[0.04273044]
48,[0.04273044]
49,[0.04273044]
50,[0.04090726]
51,[0.04090726]
52,[0.04090726]
53,[0.04090726]
54,[0.04090726]
55,[0.04090726]
56,[0.01618751]
57,[0.01618751]
58,[0.01618751]
59,[0.01618751]
60,[0.01354693]
61,[0.01354693]
62,[0.01354693]
63,[0.01354693]
64,[0.01354693]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.03453537]
2,[0.03453537]
3,[0.03418055]
4,[0.02732367]
5,[0.02732367]
6,[0.02732367]
7,[0.02732367]
8,[0.02732367]
9,[0.02732367]
10,[0.02732367]
11,[0.02732367]
12,[0.02732367]
13,[0.02732367]
14,[0.02732367]
15,[0.02732367]
16,[0.02732367]
17,[0.02732367]
18,[0.02732367]
19,[0.02732367]
20,[0.02732367]
21,[0.02732367]
22,[0.02732367]
23,[0.02732367]
24,[0.02732367]
25,[0.02732367]
26,[0.02732367]
27,[0.02732367]
28,[0.02732367]
29,[0.02732367]
30,[0.02732367]
31,[0.02732367]
32,[0.01180294]
33,[0.01180294]
34,[0.01180294]
35,[0.01180294]
36,[0.01180294]
37,[0.01180294]
38,[0.01180294]
39,[0.01180294]
40,[0.01180294]
41,[0.01180294]
42,[0.01180294]
43,[0.01180294]
44,[0.01180294]
45,[0.01180294]
46,[0.01180294]
47,[0.01180294]
48,[0.01180294]
49,[0.01180294]
50,[0.01180294]
51,[0.01180294]
52,[0.01180294]
53,[0.01180294]
54,[0.01180294]
55,[0.01180294]
56,[0.01180294]
57,[0.01180294]
58,[0.01180294]
59,[0.01180294]
60,[0.01180294]
61,[0.01180294]
62,[0.01180294]
63,[0.01180294]
64,[0.01180294]
65,[0.01180294]
66,[0.01180294]
67,[0.01180294]
68,[0.01180294]
69,[0.01180294]
70,[0.01180294]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.04620605]
2,[0.04620605]
3,[0.04620605]
4,[0.04620605]
5,[0.04620605]
6,[0.04620605]
7,[0.04620605]
8,[0.04620605]
9,[0.04620605]
10,[0.04620605]
11,[0.04620605]
12,[0.04620605]
13,[0.04620605]
14,[0.04620605]
15,[0.04620605]
16,[0.04620605]
17,[0.04620605]
18,[0.01913221]
19,[0.01913221]
20,[0.01913221]
21,[0.01913221]
22,[0.01913221]
23,[0.01913221]
24,[0.01913221]
25,[0.01913221]
26,[0.01913221]
27,[0.01913221]
28,[0.01913221]
29,[0.01913221]
30,[0.01913221]
31,[0.01913221]
32,[0.01913221]
33,[0.01913221]
34,[0.01913221]
35,[0.01913221]
36,[0.01913221]
37,[0.01913221]
38,[0.01913221]
39,[0.01913221]
40,[0.01913221]
41,[0.01913221]
42,[0.01913221]
43,[0.01913221]
44,[0.01913221]
45,[0.01913221]
46,[0.01913221]
47,[0.01913221]
48,[0.01913221]
49,[0.01913221]
50,[0.01913221]
51,[0.01913221]
52,[0.01913221]
53,[0.01913221]
54,[0.01913221]
55,[0.01913221]
56,[0.01913221]
57,[0.01913221]
58,[0.01913221]
59,[0.01913221]
60,[0.01913221]
61,[0.01913221]
62,[0.01913221]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.2162334]
2,[0.2162334]
3,[0.2162334]
4,[0.2162334]
5,[0.2162334]
6,[0.2162334]
7,[0.2162334]
8,[0.2162334]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.03106855]
2,[0.03106855]
3,[0.03106855]
4,[0.03106855]
5,[0.03106855]
6,[0.03106855]
7,[0.03106855]
8,[0.03106855]
9,[0.03106855]
10,[0.03106855]
11,[0.03106855]
12,[0.03106855]
13,[0.03106855]
14,[0.03106855]
15,[0.03106855]
16,[0.03106855]
17,[0.03106855]
18,[0.03106855]
